METHOD;URI;NAME;ACTION
POST;adminlte/darkmode/toggle;adminlte.darkmode.toggle;JeroenNoten\LaravelAdminLte\Http\Controllers\DarkModeController@toggle
GET|HEAD;sanctum/csrf-cookie;sanctum.csrf-cookie;Laravel\Sanctum\Http\Controllers\CsrfCookieController@show
GET|HEAD;up;;Closure
GET|HEAD;/;;Closure
GET|HEAD;login;login;App\Http\Controllers\Auth\LoginController@showLoginForm
POST;login;;App\Http\Controllers\Auth\LoginController@login
POST;logout;logout;App\Http\Controllers\Auth\LoginController@logout
GET|HEAD;register;register;App\Http\Controllers\Auth\RegisterController@showRegistrationForm
POST;register;;App\Http\Controllers\Auth\RegisterController@register
GET|HEAD;password/reset;password.request;App\Http\Controllers\Auth\ForgotPasswordController@showLinkRequestForm
POST;password/email;password.email;App\Http\Controllers\Auth\ForgotPasswordController@sendResetLinkEmail
GET|HEAD;password/reset/{token};password.reset;App\Http\Controllers\Auth\ResetPasswordController@showResetForm
POST;password/reset;password.update;App\Http\Controllers\Auth\ResetPasswordController@reset
GET|HEAD;password/confirm;password.confirm;App\Http\Controllers\Auth\ConfirmPasswordController@showConfirmForm
POST;password/confirm;;App\Http\Controllers\Auth\ConfirmPasswordController@confirm
GET|HEAD;home;home;App\Http\Controllers\DashboardController@index
GET|HEAD;csv-import;csv-import.form;App\Http\Controllers\CsvImportController@showImportForm
POST;csv-import;csv-import.process;App\Http\Controllers\CsvImportController@processImport
GET|HEAD;dynamic-pages;dynamic-pages.index;App\Http\Controllers\DynamicPageController@index
GET|HEAD;dynamic-pages/create;dynamic-pages.create;App\Http\Controllers\DynamicPageController@create
POST;dynamic-pages;dynamic-pages.store;App\Http\Controllers\DynamicPageController@store
GET|HEAD;dynamic-pages/{dynamic_page};dynamic-pages.show;App\Http\Controllers\DynamicPageController@show
GET|HEAD;dynamic-pages/{dynamic_page}/edit;dynamic-pages.edit;App\Http\Controllers\DynamicPageController@edit
PUT|PATCH;dynamic-pages/{dynamic_page};dynamic-pages.update;App\Http\Controllers\DynamicPageController@update
DELETE;dynamic-pages/{dynamic_page};dynamic-pages.destroy;App\Http\Controllers\DynamicPageController@destroy
GET|HEAD;dynamic-fields/create/{page_id};dynamic-fields.create;App\Http\Controllers\DynamicFieldController@create
GET|HEAD;dynamic-fields;dynamic-fields.index;App\Http\Controllers\DynamicFieldController@index
POST;dynamic-fields;dynamic-fields.store;App\Http\Controllers\DynamicFieldController@store
GET|HEAD;dynamic-fields/{dynamic_field};dynamic-fields.show;App\Http\Controllers\DynamicFieldController@show
GET|HEAD;dynamic-fields/{dynamic_field}/edit;dynamic-fields.edit;App\Http\Controllers\DynamicFieldController@edit
PUT|PATCH;dynamic-fields/{dynamic_field};dynamic-fields.update;App\Http\Controllers\DynamicFieldController@update
DELETE;dynamic-fields/{dynamic_field};dynamic-fields.destroy;App\Http\Controllers\DynamicFieldController@destroy
GET|HEAD;dynamic-data/page/{page};dynamic-data.page;App\Http\Controllers\DynamicDataController@index
GET|HEAD;dynamic-data/page/{page}/create;dynamic-data.create;App\Http\Controllers\DynamicDataController@create
POST;dynamic-data;dynamic-data.store;App\Http\Controllers\DynamicDataController@store
GET|HEAD;dynamic-data/{dynamicData}/edit;dynamic-data.edit;App\Http\Controllers\DynamicDataController@edit
PUT;dynamic-data/{dynamicData};dynamic-data.update;App\Http\Controllers\DynamicDataController@update
DELETE;dynamic-data/{dynamicData};dynamic-data.destroy;App\Http\Controllers\DynamicDataController@destroy
GET|HEAD;dynamic-data/{dynamicData};dynamic-data.show;App\Http\Controllers\DynamicDataController@show
GET|HEAD;dynamic-data/export/{page};dynamic-data.export;App\Http\Controllers\DynamicDataController@export
POST;dynamic-data/import/{page};dynamic-data.import;App\Http\Controllers\DynamicDataController@import
GET|HEAD;users;users.index;App\Http\Controllers\UserManagementController@index
GET|HEAD;users/create;users.create;App\Http\Controllers\UserManagementController@create
POST;users;users.store;App\Http\Controllers\UserManagementController@store
GET|HEAD;users/{user}/edit;users.edit;App\Http\Controllers\UserManagementController@edit
PUT;users/{user};users.update;App\Http\Controllers\UserManagementController@update
DELETE;users/{user};users.destroy;App\Http\Controllers\UserManagementController@destroy
GET|HEAD;roles;roles.index;App\Http\Controllers\UserManagementController@roles
GET|HEAD;roles/create;roles.create;App\Http\Controllers\UserManagementController@createRole
POST;roles;roles.store;App\Http\Controllers\UserManagementController@storeRole
GET|HEAD;roles/{role}/edit;roles.edit;App\Http\Controllers\UserManagementController@editRole
PUT;roles/{role};roles.update;App\Http\Controllers\UserManagementController@updateRole
DELETE;roles/{role};roles.destroy;App\Http\Controllers\UserManagementController@destroyRole
GET|HEAD;roles/{role}/permissions;roles.permissions;App\Http\Controllers\UserManagementController@permissions
POST;roles/{role}/permissions;roles.permissions.update;App\Http\Controllers\UserManagementController@updatePermissions
GET|HEAD;export-routes;;Closure
GET|HEAD;storage/{path};storage.local;Closure
